person_id,event_id,event_name,date
10909,1581,"        If you hit two keys on the typewriter, the one you don't want
",20170729
10910,690,"elsewhere.""
",20170502
10912,1290,"Our OS who art in CPU, UNIX be thy name.
",20170406
10912,5313,"people.
",20180418
10912,2967,"""Arguments with furniture are rarely productive.""
",20180226
10914,8939,"                -- Kehlog Albran
",20170404
10914,6020,"If God had wanted you to go around nude, He would have given you bigger
",20170223
10914,916,"criticize, but if everybody hated you, you'd be paranoid too.
",20170917
10935,3213,"never have to stop and answer the phone.
",20171004
10935,6625,"He looked at me as if I was a side dish he hadn't ordered.
",20170720
10935,3444,"aureomycin, cocaine, interferon, and TLC.  The only ailment chicken
",20170828
10945,6765,"Good day to avoid cops.  Crawl to school.
",20171222
10946,174,"Our country has plenty of good five-cent cigars, but the trouble is
",20180212
10952,3521,"The cow is nothing but a machine with makes grass fit for us people to
",20180211
10968,6801,"The earth is like a tiny grain of sand, only much, much heavier.
",20170402
10968,5282,"Duct tape is like the force.  It has a light side, and a dark side, and
",20170502
10968,6085,"Excellent day to have a rotten day.
",20170927
10980,8522,"Triple-Iso-Bifurcated-Krypton-Gate-MOS process...""
",20180209
10980,2714,"Condense soup, not books!
",20170821
11005,8576,"Hello Dr. Falken.
",20180331
11005,7830,"Reality is an obstacle to hallucination.
",20170331
11012,4381,"their destitution of conscience.
",20171230
11012,6815,"Ban the bomb.  Save the world for conventional warfare.
",20171221
11015,5772,"Time flies like an arrow
",20180129
11015,624,"Life is like an onion: you peel off layer after layer, then you find
",20171002
11015,6701,"Remember, UNIX spelled backwards is XINU.
",20170303
11018,8515,"                -- Don Quinn
",20180131
11038,7236,"Silverman's Law:
",20170713
11038,1600,"really make them think they'll hate you.
",20170729
11038,9245,"        History doesn't repeat itself -- historians merely repeat each
",20180315
11050,3378,"        2.  If a straight line fit is required, obtain only two data
",20171117
11059,2958,"computer crashes.
",20170205
11062,3629,"Happiness: An agreeable sensation arising from contemplating the misery
",20170625
11062,4534,"computer crashes.
",20170512
11062,5269,"                -- Lewis Carroll
",20170209
11072,4915,"                -- Thomas Jefferson
",20170802
11072,9064,"ourselves.
",20170527
11084,1519,"It is the business of the future to be dangerous.
",20170624
11084,7401,"world has ever seen.
",20170527
11084,3357,"and wants it back the minute it begins to rain.
",20180422
11092,4884,"How many software engineers does it take to change a lightbulb?
",20171203
11092,4892,"        instructor will assign 200 pages on planaria.
",20180101
11092,5735,"find at least two human errors, including the error of blaming it on
",20171001
11120,9923,"If God is perfect, why did He create discontinuous functions?
",20170201
11120,4938,"every six months.
",20170923
11132,9314,"the light comes on.
",20170121
11132,8515,"                -- Clint Eastwood
",20171214
11132,7773,"it holds the universe together...
",20170524
11140,488,"Gravity is a myth, the Earth sucks.
",20170316
11140,7758,"        He said, ""Yes, I know.
",20170625
11140,8925,"after the age of 12.
",20170829
11151,5772,"What use is magic if it can't save a unicorn?
",20171101
11153,6239,"The world is coming to an end!  Repent and return those library books!
",20171105
11153,4310,"George Orwell was an optimist.
",20170619
11161,4520,"by the number of people in the group.
",20170816
11161,9626,"There is no time like the present for postponing what you ought to be
",20170401
11161,134,"that I can.""
",20170405
11162,8995,"DeVries' Dilemma:
",20180416
11162,1046,"Real Programmers don't write in PASCAL, or BLISS, or ADA, or any of those pinko
",20170424
11162,8109,"have poured on a waffle.
",20180203
11165,994,"I'll never see a tree at all.
",20170607
11165,2207,"to justify God's ways to man
",20170503
11173,1143,Groovin' Graph Gathering,20170131
11173,1143,Groovin' Graph Gathering,20171223
11175,9564,"We wish you a Hare Krishna
",20180325
11175,7113,"                -- Mark Twain
",20171115
11176,7535,"Accordion: A bagpipe with pleats.
",20171211
11176,6845,"Man is a rational animal who always loses his temper when he is called
",20170319
11177,9016,"The brain is a wonderful organ; it starts working the moment you get up
",20180401
11177,1973,"flag.
",20180102
11177,1344,"A: 33.  1 to hold the bits and 32 to push the register.
",20170916
11181,9529,"I don't do booze,
",20170715
11181,2443,"POP UP, PUSH DOWN, BYTE, BYTE, BYTE!
",20180318
11181,5748,"give it back to them.
",20180222
11182,1200,"A.A.A.A.A.: An organization for drunks who drive
",20170430
11182,6852,"Kinkler's Second Law:
",20170825
11191,4754,"What this country needs is a good five-cent nickel.
",20180329
11191,7660,"the continuing viability of Fortran.
",20170508
11197,1302,"When someone says ""I want a programming language in which I need only
",20170421
11197,7035,"        If an idea can survive a bureaucratic review and be implemented
",20180105
11202,8753,"        You can make it foolproof, but you can't make it
",20170829
11211,5628,"                -- Arthur Naiman
",20171221
11211,3137,"to reform.
",20170117
11220,624,"If I traveled to the end of the rainbow
",20170203
11220,7837,"after the age of 12.
",20180421
11220,3490,"""Now is the time for all good men to come to.""
",20170908
11231,3992,"sane.""
",20170218
11231,8925,"        2) ""You and what army?""
",20170421
11231,9470,"Cleveland still lives.  God _m_u_s_t be dead.
",20180327
11238,8172,"Good day for a change of scene.  Repaper the bedroom wall.
",20171212
11238,5313,"you are going to see of him until he emerges on the other side of his
",20180420
11252,3218,"How wonderful opera would be if there were no singers.
",20180318
11252,1106,"                -- Winston Churchill
",20170911
11252,3156,"        other.
",20170509
11263,4719,"Never call a man a fool; borrow from him.
",20170712
11264,7338,"        Its monitor loses so totally!
",20171206
11273,9145,"        2) ""You and what army?""
",20171126
11273,7609,"Science is what happens when preconception meets verification.
",20170809
11273,7333,"create goyim?""  The generally accepted answer is ""_s_o_m_e_b_o_d_y has to buy
",20180109
11278,9122,"Time flies like an arrow
",20170114
11278,8071,"there is nothing in it.
",20180114
11279,8869,"Finagle's Creed:
",20170705
11279,7523,"I'm prepared for all emergencies but totally unprepared for everyday
",20180119
11279,5015,"Cleveland still lives.  God _m_u_s_t be dead.
",20170423
11295,4240,"Brain, v.: [as in ""to brain""] To rebuke bluntly, but not pointedly; to
",20170418
11295,7338,"get used to it.
",20171029
11295,6136,"...And malt does more than Milton can
",20171004
11297,3973,"Avoid him.  He's a Commie.
",20180421
11302,5970,"there is nothing in it.
",20171015
11302,2295,"of being a damned fool.
",20180227
11314,5124,"Gas smells awful;
",20170721
11323,9310,"If you think last Tuesday was a drag, wait till you see what happens
",20170522
11323,8342,"In English, every word can be verbed.  Would that it were so in our
",20170214
11358,1288,"How many tech writers does it take to change a lightbulb?
",20171211
11358,8071,"President Reagan has noted that there are too many economic pundits and
",20180110
11358,9776,"        damnfoolproof.
",20180129
11362,9046,"                -- John Barrymore's dying words
",20170724
11362,3640,"""Qvid me anxivs svm?""
",20180316
11362,1763,"Lie: A very poor substitute for the truth, but the only one discovered
",20170310
11368,9375,"In the long run, every program becomes rococo, and then rubble.
",20180212
11368,3973,"knows what it is.
",20170318
11376,3841,"Help a swallow land at Capistrano.
",20170309
11376,1894,"Nothing is faster than the speed of light...
",20170121
11376,9288,"make the rubble bounce""
",20180115
11385,8548,"I'm prepared for all emergencies but totally unprepared for everyday
",20170729
11385,8383,"Good day for a change of scene.  Repaper the bedroom wall.
",20171225
11385,4993,"""In short, _N is Richardian if, and only if, _N is not Richardian.""
",20171105
11402,3797,"                -- Finley Peter Dunne (Mr. Dooley)
",20170924
11402,5648,"Don't tell any big lies today.  Small ones can be just as effective.
",20170618
11403,3776,"The First Law:  You can't get anything without working for it.
",20170411
11404,8082,"conventional thing to happen to him.
",20171212
11404,2350,"it's because they were up all night.
",20170526
11404,9832,"Drive defensively.  Buy a tank.
",20170106
11412,9185,"This will be a memorable month -- no matter how hard you try to forget
",20170706
11412,3072,"say what I wish done,"" give him a lollipop.
",20180303
11412,4675,"certain; and as far as they are certain, they do not refer to reality.
",20171022
11414,8804,"One good reason why computers can do more work than people is that they
",20171231
11414,5344,"Never be led astray onto the path of virtue.
",20170402
11424,6063,"Others will look to you for stability, so hide when you bite your
",20180219
11424,8341,"Signs of crime: screaming or cries for help.
",20170812
11440,5145,"immune to bullets""
",20180327
11440,5240,"101 blocks of crud on the disk!...
",20171109
11447,3635,"He sure is a fun god
",20170417
11455,8306,"        But the good ones I've seen
",20170603
11458,517,"forecasters and has decided on an excess prophets tax.
",20170307
11458,4683,"        And masculine urgin's,
",20170221
11458,2044,"        When it's converted to energy?
",20171228
11468,9780,"with a large fortune.""
",20170513
11470,9472,"computer crashes.
",20170127
11487,3123,"The Pig, if I am not mistaken,
",20180409
11487,4892,"""Contrariwise,"" continued Tweedledee, ""if it was so, it might be, and
",20180310
11487,9325,"every six months.
",20171029
11494,2403,"                -- Alan Perlis
",20170705
11494,2152,"Keep America beautiful.  Swallow your beer cans.
",20170623
11494,9469,"                -- Groucho Marx
",20170623
11495,1229,"Shining with all his might:
",20170423
11495,2789,"                -- W. Somerset Maughm
",20180310
11503,3,"                -- Elbert Hubbard
",20170608
11503,7822,"Vote anarchist
",20170125
11516,7227,"        stupidity.
",20180312
11522,4612,"                -- Dorothy Parker
",20171122
11523,8605,"slandered.
",20170415
11523,4283,"        It's made by our favorite monopoly!
",20170422
11561,7401,"to work.
",20180125
11567,2035,"        Every instructor assumes that you have nothing else to do
",20170921
11567,3491,"It never does quite what I want
",20170629
11568,8620,"Worst Vegetable of the Year: The brussels sprout.  This is also the
",20180418
11568,7995,"As of next week, passwords will be entered in Morse code.
",20180325
11568,1675,"God isn't dead, he just couldn't find a parking place.
",20170802
11570,7271,"If we do not change our direction we are likely to end up where we are
",20170304
11570,9414,"Perhaps, unless the billboards fall
",20171223
11570,8012,"say what I wish done,"" give him a lollipop.
",20170510
11577,2099,"was to go away.
",20180101
11577,3199,"There was a young lady from Hyde
",20170414
11586,9923,"Excellent time to become a missing person.
",20170911
11615,4719,"have nothing whatever to do with it.
",20171028
11615,5971,"The Pig, if I am not mistaken,
",20170201
11615,7364,"Forgetfulness: A gift of God bestowed upon debtors in compensation for
",20170303
11618,6753,"Experience is that marvelous thing that enables you recognize a
",20170921
11618,18,"Everyting should be built top-down, except the first time.
",20180125
11618,8612,"BLISS is ignorance
",20170909
11639,3046,"Coronation: The ceremony of investing a sovereign with the outward and
",20170911
11639,4719,"A computer, to print out a fact,
",20170424
11639,3581,"to reform.
",20170805
11642,996,"A professor is one who talks in someone else's sleep.
",20171225
11663,2207,"If at first you don't succeed, give up, no use being a damn fool.
",20180428
11663,8667,"Never let your child play with a loaded carp.
",20170927
11663,5469,"they ought to be.  Hence the custom among the Scythians of plucking out
",20170724
11686,4219,"Cleveland still lives.  God _m_u_s_t be dead.
",20180105
11697,4652,"Reclaimer, spare that tree!
",20170811
11723,1344,"Velilind's Laws of Experimentation:
",20180406
11723,3490,"Green light in A.M. for new projects.  Red light in P.M. for traffic
",20180101
11751,6072,"Real Programmers don't document.  Documentation is for simps who can't read the
",20170303
11751,6579,"worst vegetable of next year.
",20170113
11751,3187,"The First Law:  You can't get anything without working for it.
",20170509
11758,3139,"Their topics run chiefly to sex.
",20170403
11758,1599,"middle of the machine room.
",20170714
11759,5865,"Kinkler's First Law:
",20180404
11761,2210,"                -- Kehlog Albran
",20170624
11761,7364,"there is nothing in it.
",20180324
11761,8657,"never have to stop and answer the phone.
",20171208
11794,18,"                -- The Brigader, from Dr. Who
",20171017
11794,8034,"        the dark leaks out.
",20180416
11794,4291,"Succumb to natural tendencies.  Be hateful and boring.
",20170222
11813,9373,"""That must be wonderful!  I don't understand it at all.""
",20180414
11822,5727,"it's because they were up all night.
",20180110
11822,3904,"Don't feed the bats tonight.
",20170930
11849,3362,"Enzymes are things invented by biologists that explain things which
",20170521
11856,176,"Whenever people agree with me I always feel I must be wrong.
",20170204
11856,5033,"Genius may have its limitations, but stupidity is not thus
",20170523
11856,3776,"The First Law:  You can't get anything without working for it.
",20170922
11858,1866,"Things are more like they used to be than they are now.
",20171122
11863,2940,"A language that doesn't affect the way you think about programming is
",20170416
11874,9630,"        When it's converted to energy?
",20170928
11874,3999,"Corollary:
",20180131
11874,9171,"I never fail to convince an audience that the best thing they could do
",20170819
11884,1468,"elsewhere.""
",20171004
11890,5043,"nothing of interest is easy.
",20171208
11899,6986,"Stay away from hurricanes for a while.
",20170821
11899,8566,"lightly greased.""
",20171111
11899,7424,"The new Congressmen say they're going to turn the government around.  I
",20171111
11900,4986,"                -- Albert Einstein
",20170810
11900,7219,"and then pulled an all-nighter.
",20170810
11900,315,"Got Mole problems?
",20180228
11914,2338,"that is not being talked about.
",20170818
11917,8010,"If you make people think they're thinking, they'll love you; but if you
",20170601
11917,3878,"body is better.
",20171229
11917,2513,"Optimization hinders evolution.
",20171217
11950,8826,"Every manifestation had seven symptoms.
",20170827
11957,3755,"You patch a bug, and dump it again:
",20170409
11971,737,"                -- John Barrymore's dying words
",20180115
11971,2443,"                -- Gigo
",20170513
11971,3115,"breath is called the listener.
",20180211
11987,8964,"Do not sleep in a eucalyptus tree tonight.
",20170221
11990,5735,"DeVries' Dilemma:
",20170104
11990,4235,"Hire the morally handicapped.
",20171206
11992,3823,"100 blocks of crud on the disk!
",20170428
11992,1926,"The brain is a wonderful organ; it starts working the moment you get up
",20180318
11992,5033,"Nihilism should commence with oneself.
",20180329
11993,4892,"        While her lover lamented
",20171001
12000,5659,"A diplomat is a man who can convince his wife she'd look stout in a
",20170926
12000,2195,"Real Programmers don't write application programs; they program right down on
",20180316
12000,8784,"avoid responsibility with?
",20170612
12007,5201,"hands.
",20170129
12007,9192,"Velilind's Laws of Experimentation:
",20170515
12022,1137,"The Universe is laughing behind your back
",20180122
12022,6636,"I never fail to convince an audience that the best thing they could do
",20170413
12022,2403,"Brain fried -- Core dumped
",20180225
12030,7711,"Adult: One old enough to know better.
",20170708
12034,712,"It is easier to get forgiveness than permission.
",20171006
12049,9185,"        instructor will assign 200 pages on planaria.
",20170312
12056,6463,"God is not dead!  He's alive and autographing bibles at Cody's
",20171217
12061,8778,"Triple-Iso-Bifurcated-Krypton-Gate-MOS process...""
",20170519
12061,9310,"Every program has (at least) two purposes: the one for which it was
",20170318
12061,3997,"        yourself as part of the problem.
",20170511
12092,8131,"How many software engineers does it take to change a lightbulb?
",20170205
12092,5971,"say what I wish done,"" give him a lollipop.
",20170918
12092,8513,"It was a book to kill time for those who liked it better dead.
",20180130
12095,4892,"""I am not an Economist.  I am an honest man!""
",20171121
12095,4583,"Hanlon's Razor:
",20170415
12103,7780,"Don't believe everything you hear or anything you say.
",20170122
12107,4219,"the light comes on.
",20170112
12107,2264,"after the age of 12.
",20180422
12107,2002,"                -- Dorothy Parker
",20180212
12111,9122,"                -- Peter S. Beagle
",20170119
12111,9016,"Broad-mindedness: The result of flattening high-mindedness out.
",20180313
12121,488,"There's only one way to have a happy marriage and as soon as I learn
",20170726
12121,9347,"Computers are infalllible.
",20170127
12136,3581,"bodies, it is customary to mention all members as honorable; as, ""the
",20170814
12136,85,"""It's Fabulous!  We haven't seen anything like it in the last half an
",20180425
12160,7523,"                   ""Register Allocation in Optimizing Compilers""
",20171020
12160,5593,"                -- Bill Hoest
",20170418
12160,4520,"System/3!
",20170510
12161,3351,"Oh, let us never, never doubt
",20170516
12161,8187,"        Its syntax worse than JOSS;
",20180427
12161,9353,"Cleveland still lives.  God _m_u_s_t be dead.
",20170506
12178,1404,"                -- Eleanor Roosevelt
",20170821
12178,6702,"                -- Groucho Marx
",20170110
12178,2403,"Signs of crime: screaming or cries for help.
",20170925
12179,2513,"If someone had told me I would be Pope one day, I would have studied
",20170413
12179,2059,"Whenever you find that you are on the side of the majority, it is time
",20171220
12179,792,"                -- Carl Zwanzig
",20180305
12184,3865,"We wish you a Hare Krishna
",20180213
12184,4837,"Surprise your boss.  Get to work on time.
",20170605
12184,8417,"Good-bye.  I am leaving because I am bored.
",20170517
12185,2731,"The men sat sipping their tea in silence.  After a while the klutz
",20180117
12185,5362,"Dealing with failure is easy:  Work hard to improve.  Success is also
",20170202
12190,129,"Science is what happens when preconception meets verification.
",20180328
12190,6669,"        live.
",20180125
12207,7587,"Whose poetry never would scan.
",20180429
12230,2167,"Avoid reality at all costs.
",20170901
12230,1994,"
",20170313
12261,8949,"...And malt does more than Milton can
",20170923
12261,8657,"                -- Herbert Prochnow
",20180318
12261,6571,"full days you don't get.  Try to avoid Februarys whenever possible.
",20170116
12272,845,"has been discontinued.
",20180326
12272,2831,"Kinkler's Second Law:
",20180115
12272,8010,"                -- Fred Allen
",20171010
12279,3953,"Fairy Tale: A horror story to prepare children for the newspapers.
",20171218
12279,690,"Real Programmers don't comment their code.  If it was hard to write, it should
",20170424
12295,4149,"Eggheads unite!  You have nothing to lose but your yolks.
",20180116
12295,5287,"According to the latest official figures, 43% of all statistics are
",20171110
12295,7535,"Acid -- better living through chemistry.
",20171129
12297,9564,"Misery loves company, but company does not reciprocate.
",20170618
12307,8068,"Shining with all his might:
",20180316
12307,2659,"A: Three.  One to screw in the lightbulb and two to fend off all those
",20180220
12319,4072,"What is worth doing is worth the trouble of asking somebody to do.
",20171208
12319,1483,"dispel a source of error in an opponent.
",20170110
12319,8836,"                -- Jules de Gaultier
",20180105
12325,374,"One of the oldest problems puzzled over in the Talmud is: ""Why did God
",20180407
12325,2886,"Ban the bomb.  Save the world for conventional warfare.
",20170121
12329,515,"And made cider inside her inside.
",20170203
12329,9621,"                -- Walt Kelly
",20171226
12344,9335,"And other erotic effects.
",20180322
12344,709,"Menu: A list of dishes which the restaurant has just run out of
",20170216
12347,61,"Keep America beautiful.  Swallow your beer cans.
",20180128
12347,8233,"Good day to let down old friends who need help.
",20171129
12354,5727,"It is easier to change the specification to fit the program than vice
",20180125
