person_id,transcript
13308,"‘Repeat, “YOU ARE OLD, FATHER WILLIAM,”’ said the Caterpillar.
"
13374,"
"
13403,"‘Well, I can’t show it you myself,’ the Mock Turtle said: ‘I’m too
"
13460,"felt quite strange at first; but she got used to it in a few minutes,
"
13466,"
"
13468,"
"
13492,"being drowned in my own tears! That WILL be a queer thing, to be sure!
"
13499,"
"
13514,"‘What did they draw?’ said Alice, quite forgetting her promise.
"
13515,"real Mary Ann, and be turned out of the house before she had found the
"
13530,"doesn’t suit my throat!’ and a Canary called out in a trembling voice to
"
13581,"
"
13598,"doesn’t suit my throat!’ and a Canary called out in a trembling voice to
"
13628,"
"
13641,"‘At any rate I’ll never go THERE again!’ said Alice as she picked her
"
13649,"a voice outside, and stopped to listen.
"
13660,"of things at all, as the game was in such confusion that she never knew
"
13661,"to repeat it, when a cry of ‘The trial’s beginning!’ was heard in the
"
13664,"ever having seen such a thing.
"
13679,"
"
13682,"‘I never thought about it,’ said Alice. ‘Why?’
"
13721,"herself, ‘I don’t see how he can EVEN finish, if he doesn’t begin.’ But
"
13759,"‘You couldn’t have wanted it much,’ said Alice; ‘living at the bottom of
"
13772,"‘But who is to give the prizes?’ quite a chorus of voices asked.
"
13779,"
"
13818,"time,’ she said, ‘than waste it in asking riddles that have no answers.’
"
13820,"Alice went timidly up to the door, and knocked.
"
13859,"
"
13917,"‘And who is Dinah, if I might venture to ask the question?’ said the
"
13922,"and added with a kind of sob, ‘I’ve tried every way, and nothing seems
"
13928,"
"
13933,"‘It was much pleasanter at home,’ thought poor Alice, ‘when one wasn’t
"
13945,"‘Well, I never heard it before,’ said the Mock Turtle; ‘but it sounds
"
13954,"to be, from one minute to another! However, I’ve got back to my right
"
13989,"
"
13995,"which wasn’t much.
"
14049,"way of speaking to a mouse: she had never done such a thing before, but
"
14088,"‘EVERYBODY has won, and all must have prizes.’
"
14090,"label, with the words ‘DRINK ME’ beautifully printed on it in large
"
14111,"
"
14114,"Lizard’s slate-pencil, and the choking of the suppressed guinea-pigs,
"
14182,"‘What for?’ said Alice.
"
14203,"‘Don’t be impertinent,’ said the King, ‘and don’t look at me like that!’
"
14216,"
"
14217,"it was in March.’ As she said this, she looked up, and there was the Cat
"
14252,"The Knave shook his head sadly. ‘Do I look like it?’ he said. (Which he
"
14255,"‘I never thought about it,’ said Alice. ‘Why?’
"
14266,"ladder?--Why, I hadn’t to bring but one; Bill’s got the other--Bill!
"
14295,"
"
14297,"  *    *    *    *    *    *    *
"
14302,"questions of eating and drinking.
"
14307,"yourself.’
"
14324,"cat in the world! Oh, my dear Dinah! I wonder if I shall ever see you
"
14336,"‘And who is Dinah, if I might venture to ask the question?’ said the
"
14354,"‘Do you mean that you think you can find out the answer to it?’ said the
"
14373,"  *    *    *    *    *    *    *
"
14393,"out here? Run home this moment, and fetch me a pair of gloves and a fan!
"
14417,"that it was quite impossible to say whether the blows hurt it or not.
"
14421,"dry me at all.’
"
14441,"
"
14455,"your cat grins like that?’
"
14459,"
"
14464,"‘No, they’re not,’ said the White Rabbit, ‘and that’s the queerest thing
"
14468,"‘That is not said right,’ said the Caterpillar.
"
14510,"savage when they met in the kitchen.
"
14532,"
"
14536,"
"
14565,"‘Ah, well! It means much the same thing,’ said the Duchess, digging her
"
14577,"The Duchess took her choice, and was gone in a moment.
"
14579,"
"
14588,"‘Write that down,’ the King said to the jury, and the jury eagerly
"
14602,"letter, written by the prisoner to--to somebody.’
"
14612,"
"
14622,"see: four times five is twelve, and four times six is thirteen, and
"
14710,"
"
14758,"half to itself, half to Alice.
"
14761,"          no jury
"
14771,"‘Then it ought to be Number One,’ said Alice.
"
14787,"
"
14792,"‘I do,’ Alice hastily replied; ‘at least--at least I mean what I
"
14827,"
"
14849,"murder to leave it behind?’ She said the last words out loud, and the
"
14880,"
"
14887,"I heard a gunshot and then saw a man run out. He had a ""Get Fit Now Gym"" bag. The membership number on the bag started with ""48Z"". Only gold members have those bags. The man got into a car with a plate that included ""H42W""."
14888,"   ‘Speak roughly to your little boy,
"
14930,"beasts and other unpleasant things, all because they WOULD not remember
"
14973,"added the Gryphon; and then they both sat silent and looked at poor
"
15008,"
"
15012,"
"
15027,"So she sat on, with closed eyes, and half believed herself in
"
15046,"a doze; but, on being pinched by the Hatter, it woke up again with
"
15088,"
"
15121,"Queen jumped up and bawled out, “He’s murdering the time! Off with his
"
15126,"Alice opened the door and found that it led into a small passage, not
"
15149,"
"
15161,"
"
15171,"the verses to himself: ‘“WE KNOW IT TO BE TRUE--” that’s the jury, of
"
15202,"name ‘Alice!’
"
15361,"on.’
"
15376,"perfectly idiotic!’ And she opened the door and went in.
"
15403,"pitied him deeply. ‘What is his sorrow?’ she asked the Gryphon, and the
"
15412,"round it, panting, and asking, ‘But who has won?’
"
15440,"
"
15465,"them, and he checked himself suddenly: the others looked round also, and
"
15475,"‘What did they draw?’ said Alice, quite forgetting her promise.
"
15490,"felt that it ought to be treated with respect.
"
15508,"get out again.
"
15544,"
"
15560,"birthday presents like that!’ But she did not venture to say it out
"
15567,"  While the Owl had the dish as its share of the treat.
"
15592,"‘No, no!’ said the Queen. ‘Sentence first--verdict afterwards.’
"
15609,"So she sat on, with closed eyes, and half believed herself in
"
15617,"thing before, and he wasn’t going to begin at HIS time of life.
"
15652,"
"
15655,"No, there were no tears. ‘If you’re going to turn into a pig, my dear,’
"
15657,"‘They were obliged to have him with them,’ the Mock Turtle said: ‘no
"
15676,"sea of green leaves that lay far below her.
"
15689,"moment Five, who had been anxiously looking across the garden, called
"
15690,"fear they should forget them before the end of the trial.’
"
15710,"
"
15722,"on. Her listeners were perfectly quiet till she got to the part about
"
15740,"was beating her violently with its wings.
"
15797,"This question the Dodo could not answer without a great deal of thought,
"
15844,"jumping merrily along hand in hand, in couples: they were all ornamented
"
15851,"‘You might just as well say,’ added the March Hare, ‘that “I like what I
"
15885,"
"
15898,"myself about you: you must manage the best way you can;--but I must be
"
15921,"
"
15930,"Alice was rather doubtful whether she ought not to lie down on her face
"
15942,"
"
15963,"of THAT is--“Take care of the sense, and the sounds will take care of
"
15976,"letter, written by the prisoner to--to somebody.’
"
15980,"The Dormouse again took a minute or two to think about it, and then
"
15987,"
"
15992,"This was quite a new idea to Alice, and she thought it over a little
"
16019,"‘EAT ME’ were beautifully marked in currants. ‘Well, I’ll eat it,’ said
"
16043,"cries to the voice of the shepherd boy--and the sneeze of the baby, the
"
16082,"‘I should like to have it explained,’ said the Mock Turtle.
"
16089,"
"
16100,"Knave of Hearts, who only bowed and smiled in reply.
"
16122,"‘What a curious feeling!’ said Alice; ‘I must be shutting up like a
"
16153,"some time without interrupting it.
"
16162,"coming. ‘There’s PLENTY of room!’ said Alice indignantly, and she sat
"
16205,"unrolled the parchment scroll, and read as follows:--
"
16241,"Alice remained looking thoughtfully at the mushroom for a minute, trying
"
16260,"on, as she heard the Queen’s voice in the distance, screaming with
"
16283,"     Beau--ootiful Soo--oop!
"
16295,"The Hatter was the first to break the silence. ‘What day of the month
"
16321,"
"
16328,"‘Mary Ann! Mary Ann!’ said the voice. ‘Fetch me my gloves this moment!’
"
16351,"about wasting IT. It’s HIM.’
"
16355,"
"
16371,"I saw the murder happen, and I recognized the killer from my gym when I was working out last week on January the 9th."
16374,"held it out to the puppy; whereupon the puppy jumped into the air off
"
16401,"
"
16403,"
"
16420,"make THEIR eyes bright and eager with many a strange tale, perhaps even
"
16455,"and the whole party at once crowded round her, calling out in a confused
"
16473,"‘I never said I didn’t!’ interrupted Alice.
"
16475,"to herself that perhaps it was only the pepper that had made her so
"
16500,"make me smaller, I suppose.’
"
16518,"
"
16568,"‘There isn’t any,’ said the March Hare.
"
16598,"HAD THIS FIT--” you never had fits, my dear, I think?’ he said to the
"
16603,"‘We had the best of educations--in fact, we went to school every day--’
"
16640,"
"
16647,"and not to her, so she took courage, and went on again:--
"
16655,"
"
16656,"you’re changed, do you?’
"
16667,"a voice outside, and stopped to listen.
"
16707,"‘I DON’T know,’ said the Caterpillar.
"
16714,"(Dinah was the cat.) ‘I hope they’ll remember her saucer of milk at
"
16759,"sneezed occasionally; and as for the baby, it was sneezing and howling
"
16770,"‘Is that the way YOU manage?’ Alice asked.
"
16773,"
"
16785,"remembering her own child-life, and the happy summer days.
"
16793,"added the Gryphon; and then they both sat silent and looked at poor
"
16858,"Alice said nothing: she had never been so much contradicted in her life
"
16861,"           (WITH ALICE’S LOVE).
"
16879,"‘I beg your pardon!’ said the Mouse, frowning, but very politely: ‘Did
"
16888,"
"
16932,"one corner of it: ‘No room! No room!’ they cried out when they saw Alice
"
16939,"
"
16959,"
"
16968,"
"
16991,"dry enough!’ They all sat down at once, in a large ring, with the Mouse
"
17010,"Some of the jury wrote it down ‘important,’ and some ‘unimportant.’
"
17027,"‘Now tell me, Pat, what’s that in the window?’
"
17028,"to the door.
"
17040,"
"
17062,"Just then her head struck against the roof of the hall: in fact she was
"
17076,"But her sister sat still just as she left her, leaning her head on her
"
17086,"it was in March.’ As she said this, she looked up, and there was the Cat
"
17097,"
"
17116,"
"
17123,"
"
17142,"
"
17157,"        “I’ll be
"
17191,"‘Well, there was Mystery,’ the Mock Turtle replied, counting off
"
17193,"replied; ‘and then the different branches of Arithmetic--Ambition,
"
17210,"‘This here young lady,’ said the Gryphon, ‘she wants for to know your
"
17215,"cat in the world! Oh, my dear Dinah! I wonder if I shall ever see you
"
17224,"last in the beautiful garden, among the bright flower-beds and the cool
"
17229,"your pocket?’ he went on, turning to Alice.
"
17266,"well.
"
17296,"‘What did they live on?’ said Alice, who always took a great interest in
"
17341,"this was her dream:--
"
17354,"Mabel! I’ll try and say “How doth the little--“’ and she crossed her
"
17369,"the royal children, and everybody else.
"
17378,"she set to work very carefully, nibbling first at one and then at the
"
17394,"
"
17397,"very soon found an opportunity of taking it away. She did it so quickly
"
17415,"
"
17439,"pocket, and was looking at it uneasily, shaking it every now and then,
"
17454,"that “I see what I eat” is the same thing as “I eat what I see”!’
"
17464,"hands were clasped upon her knee, and the bright eager eyes were looking
"
17474,"fish)--and rapped loudly at the door with his knuckles. It was opened
"
17477,"
"
17487,"Then came a little pattering of feet on the stairs. Alice knew it was
"
17509,"sea. The master was an old Turtle--we used to call him Tortoise--’
"
17537,"
"
17543,"know.’
"
17563,"
"
17581,"‘Don’t talk nonsense,’ said Alice more boldly: ‘you know you’re growing
"
17605,"OUT OF ITS WAISTCOAT-POCKET, and looked at it, and then hurried on,
"
17617,"his eyes. He looked at Alice, and tried to speak, but for a minute or
"
17621,"   ‘They told me you had been to her,
"
17623,"
"
17628,"hot day made her feel very sleepy and stupid), whether the pleasure
"
17662,"   ‘Beautiful Soup! Who cares for fish,
"
17676,"
"
17681,"Alice had been all the way down one side and up the other, trying every
"
17704,"tone: ‘tell her something about the games now.’
"
17708,"‘Hm! No accounting for tastes! Sing her “Turtle Soup,” will you, old
"
17745,"the patriotic archbishop of Canterbury, found it advisable--“’
"
17750,"set off at once, and ran till she was quite tired and out of breath, and
"
17800,"‘Come, my head’s free at last!’ said Alice in a tone of delight, which
"
17808,"
"
17830,"‘What a pity it wouldn’t stay!’ sighed the Lory, as soon as it was quite
"
17863,"nearer to watch them, and just as she came up to them she heard one of
"
17868,"
"
17882,"
"
17921,"‘What for?’ said the one who had spoken first.
"
17957,"
"
17976,"the Conqueror, whose cause was favoured by the pope, was soon submitted
"
17989,"gardeners instantly jumped up, and began bowing to the King, the Queen,
"
18007,"   A secret, kept from all the rest,
"
18016,"arranged; the only difficulty was, that she had not the smallest idea
"
18026,"mouse-traps, and the moon, and memory, and muchness--you know you say
"
18034,"
"
18044,"all the while, and fighting for the hedgehogs; and in a very short
"
18052,"things to happen, that it seemed quite dull and stupid for life to go on
"
18058,"creatures hid their faces in their paws.
"
18071,"tried to get her head down to them, and was delighted to find that her
"
18094,"
"
18108,"‘ARE you to get in at all?’ said the Footman. ‘That’s the first
"
18116,"the right-hand bit to try the effect: the next moment she felt a violent
"
18130,"‘Come, we shall have some fun now!’ thought Alice. ‘I’m glad they’ve
"
18151,"bore it as well as she could.
"
18153,"sharp little chin into Alice’s shoulder as she added, ‘and the moral
"
18164,"house, quite forgetting that she was now about a thousand times as large
"
18174,"startled when she heard her voice close to her ear. ‘You’re thinking
"
18181,"These were the verses the White Rabbit read:--
"
18188,"occasional exclamation of ‘Hjckrrh!’ from the Gryphon, and the constant
"
18194,"size: to be sure, this generally happens when one eats cake, but Alice
"
18212,"filled the air, mixed up with the distant sobs of the miserable Mock
"
18215,"
"
18216,"‘Your hair wants cutting,’ said the Hatter. He had been looking at Alice
"
18222,"herself. ‘Shy, they seem to put everything upon Bill! I wouldn’t be in
"
18247,"
"
18258,"‘Oh, I’m not particular as to size,’ Alice hastily replied; ‘only one
"
18265,"“What for?”’
"
18275,"who I WAS when I got up this morning, but I think I must have been
"
18315,"The table was a large one, but the three were all crowded together at
"
18324,"
"
18330,"shouting ‘Off with his head!’ or ‘Off with her head!’ about once in a
"
18357,"‘Now tell me, Pat, what’s that in the window?’
"
18358,"a hurry that she tipped over the jury-box with the edge of her skirt,
"
18396,"
"
18407,"sentence first!’
"
18415,"
"
18436,"
"
18442,"The door led right into a large kitchen, which was full of smoke from
"
18461,"thought over all she could remember about ravens and writing-desks,
"
18485,"
"
18495,"shouldn’t be hungry for it, you know.’
"
18497,"those long words, and, what’s more, I don’t believe you do either!’ And
"
18522,"    Pray how did you manage to do it?’
"
18562,"
"
18568,"it: for she thought, and rightly too, that very few little girls of her
"
18573,"
"
18583,"
"
18585,"
"
18639,"‘Hand it over here,’ said the Dodo.
"
18640,"     ‘How cheerfully he seems to grin,
"
18661,"led into the garden. Then she went to work nibbling at the mushroom (she
"
18689,"‘Yes!’ shouted Alice.
"
18718,"
"
18743,"savage when they met in the kitchen.
"
18806,"real Mary Ann, and be turned out of the house before she had found the
"
18812,"without even waiting to put his shoes on.
"
18873,"
"
18874,"‘I suppose so,’ said Alice.
"
18888,"‘Are you content now?’ said the Caterpillar.
"
18893,"like a mouse, you know. But do cats eat bats, I wonder?’ And here Alice
"
18938,"There was a long silence after this, and Alice could only hear whispers
"
18970,"     ‘How doth the little crocodile
"
19018,"
"
19019,"
"
19048,"and no one else seemed inclined to say anything.
"
19085,"be growing small again.’ She got up and went to the table to measure
"
19094,"oneself speak--and they don’t seem to have any rules in particular;
"
19135,"yesterday you deserved to be beheaded!’
"
19141,"contempt. ‘I’ve seen a good many little girls in my time, but never ONE
"
19150,"
"
19160,"
"
19162,"The Hatter opened his eyes very wide on hearing this; but all he SAID
"
19164,"CHAPTER XI. Who Stole the Tarts?
"
19179,"‘Tell us a story!’ said the March Hare.
"
19233,"it into his cup of tea, and looked at it again: but he could think of
"
19245,"‘You are not attending!’ said the Mouse to Alice severely. ‘What are you
"
19262,"looked at the sides of the well, and noticed that they were filled with
"
19263,"
"
19277,"to dive in among the leaves, which she found to be nothing but the tops
"
19282,"‘Well, perhaps not,’ said Alice in a soothing tone: ‘don’t be angry
"
19292,"‘Their heads are gone, if it please your Majesty!’ the soldiers shouted
"
19333,"
"
19336,"your Majesty?’ he asked.
"
19341,"
"
19360,"‘Exactly so,’ said the Hatter: ‘as the things get used up.’
"
19426,"
"
19428,"It sounded an excellent plan, no doubt, and very neatly and simply
"
19434,"nurse! But I’ve got to see that the mouse doesn’t get out.” Only I don’t
"
19442,"‘You are not attending!’ said the Mouse to Alice severely. ‘What are you
"
19507,"
"
19508,"     Beautiful, beautiful Soup!’
"
19554,"worse. You MUST have meant some mischief, or else you’d have signed your
"
19608,"‘You might just as well say,’ added the March Hare, ‘that “I like what I
"
19635,"‘What size do you want to be?’ it asked.
"
19640,"
"
19660,"‘And who are THESE?’ said the Queen, pointing to the three gardeners who
"
19697,"
"
19702,"  Was kindly permitted to pocket the spoon:
"
19713,"
"
19730,"close by her.
"
19741,"knocking, and hurried upstairs, in great fear lest she should meet the
"
19809,"
"
19825,"looking for it, while the rest of the party went back to the game.
"
19832,"kind of thing never happened, and now here I am in the middle of one!
"
19877,"
"
19948,"  *    *    *    *    *    *    *
"
19949,"
"
19968,"Alice, she went on, ‘What’s your name, child?’
"
19971,"name like an honest man.’
"
19991,"‘I thought it would,’ said the Cat, and vanished again.
"
20009,"speaking to it,’ she thought, ‘till its ears have come, or at least one
"
20054,"very little! Besides, SHE’S she, and I’m I, and--oh dear, how puzzling
"
20118,"
"
20126,"on.’
"
20141,"
"
20144,"
"
20151,"to dive in among the leaves, which she found to be nothing but the tops
"
20177,"
"
20212,"only took the regular course.’
"
20240,"severity; ‘it’s very rude.’
"
20247,"  *    *    *    *    *    *    *
"
20252,"out of sight; and an old Crab took the opportunity of saying to her
"
20307,"think nothing of tumbling down stairs! How brave they’ll all think me at
"
20323,"‘Your Majesty must cross-examine THIS witness.’
"
20351,"
"
20399,"my own. I’m a hatter.’
"
20408,"anxiously round to see if he would deny it too: but the Dormouse denied
"
20450,"could get away without being seen, when she noticed a curious appearance
"
20481,"that was sitting on the top with its arms folded, quietly smoking a long
"
20492,"‘--so long as I get SOMEWHERE,’ Alice added as an explanation.
"
20520,"plate with the name ‘W. RABBIT’ engraved upon it. She went in without
"
20540,"
"
20578,"she was now, and she soon made out that it was only a mouse that had
"
20592,"thimble’; and, when it had finished this short speech, they all cheered.
"
20603,"‘ARE you to get in at all?’ said the Footman. ‘That’s the first
"
20620,"‘Well, then,’ the Cat went on, ‘you see, a dog growls when it’s angry,
"
20628,"and holding it to his ear.
"
20640,"myself about you: you must manage the best way you can;--but I must be
"
20662,"well.
"
20665,"
"
20711,"_I_ shan’t be able! I shall be a great deal too far off to trouble
"
20716,"beasts and other unpleasant things, all because they WOULD not remember
"
20746,"
"
20760,"‘I’ve had nothing yet,’ Alice replied in an offended tone, ‘so I can’t
"
20768,"
"
20775,"twenty-four hours to turn round on its axis--’
"
20781,"
"
20811,"moment, I tell you!’ But she went on all the same, shedding gallons of
"
20826,"Then the Queen left off, quite out of breath, and said to Alice, ‘Have
"
20838,"poker will burn you if you hold it too long; and that if you cut your
"
20842,"question is, what?’
"
20843,"  ‘’Tis the voice of the Lobster; I heard him declare,
"
20929,"Alice looked down at them, and considered a little before she gave her
"
20933,"
"
20936,"
"
20946,"in the middle, being held up by two guinea-pigs, who were giving it
"
20953,"and not to her, so she took courage, and went on again:--
"
20959,"Knave.
"
20965,"
"
20967,"it ran away when it saw mine coming!’
"
20981,"neck would bend about easily in any direction, like a serpent. She had
"
20988,"she fell past it.
"
21007,"
"
21014,"‘Come on, then!’ roared the Queen, and Alice joined the procession,
"
21022,"lullaby to it as she did so, and giving it a violent shake at the end of
"
21023,"you seen the Mock Turtle yet?’
"
21031,"
"
21046,"Alice considered a little, and then said ‘The fourth.’
"
21075,"itself upright as it spoke (it was exactly three inches high).
"
21093,"disappointment it was empty: she did not like to drop the jar for fear
"
21161,"sight, they were getting so far off). ‘Oh, my poor little feet, I wonder
"
21200,"
"
21208,"snappishly. ‘You’re enough to try the patience of an oyster!’
"
21246,"‘are done with a whiting. Now you know.’
"
21255,"‘Don’t be impertinent,’ said the King, ‘and don’t look at me like that!’
"
21257,"
"
21287,"uglifying!’ it exclaimed. ‘You know what to beautify is, I suppose?’
"
21313,"Alice a little timidly: ‘but it’s no use going back to yesterday,
"
21314,"down on one knee as he spoke, ‘we were trying--’
"
21318,"  ‘I passed by his garden, and marked, with one eye,
"
21324,"‘THAT you won’t’ thought Alice, and, after waiting till she fancied
"
21331,"
"
21345,"said the Duchess, as she tucked her arm affectionately into Alice’s, and
"
21350,"that the meeting adjourn, for the immediate adoption of more energetic
"
21359,"candle is like after the candle is blown out, for she could not remember
"
21375,"
"
21383,"then treading on her toes when they passed too close, and waving their
"
21384,"Everybody looked at Alice.
"
21407,"
"
21408,"picking the daisies, when suddenly a White Rabbit with pink eyes ran
"
21417,"The Cat only grinned when it saw Alice. It looked good-natured, she
"
21474,"
"
21478,"‘I’ll tell it her,’ said the Mock Turtle in a deep, hollow tone: ‘sit
"
21579,"Presently she began again. ‘I wonder if I shall fall right THROUGH the
"
21601,"‘I should like it very much,’ said Alice, ‘but I haven’t been invited
"
21616,"‘Treacle,’ said a sleepy voice behind her.
"
21623,"
"
21625,"
"
21627,"have got altered.’
"
21628,"
"
21638,"Alice was not much surprised at this, she was getting so used to queer
"
21643,"‘I don’t believe it,’ said the Pigeon; ‘but if they do, why then they’re
"
21673,"turned out, and, by the time they had settled down again, the cook had
"
21678,"‘Oh, PLEASE mind what you’re doing!’ cried Alice, jumping up and down in
"
21727,"‘They lived on treacle,’ said the Dormouse, after thinking a minute or
"
